epoch,accuracy,loss,val_accuracy,val_loss
0,0.3360967,1.7645069054747713,0.3764279782772064,1.7811574826302985
1,0.43463722,1.5078371992957118,0.44246307015419006,1.6041220972949197
2,0.4757045,1.3948346996652847,0.5008358955383301,1.3607445842677022
3,0.5010624,1.3234805420750615,0.5150460004806519,1.3096586081868062
4,0.52091676,1.2705404989198439,0.5100306272506714,1.3029111721084523
5,0.5347452,1.2378947091719636,0.5504318475723267,1.2137588566310826
6,0.5453342,1.2074777065322808,0.546949028968811,1.2088518142035891
7,0.55209166,1.186212397139915,0.546252429485321,1.2203806421324284
8,0.5620189,1.1694258100797383,0.5451379418373108,1.2134806038643131
9,0.56619877,1.1551618255655893,0.5730008482933044,1.1462781052630604
10,0.57225955,1.1373185494995037,0.5760657787322998,1.1399707862778805
11,0.5772754,1.126888786381558,0.5752298831939697,1.161705856088743
12,0.57960916,1.118113909641683,0.5869323015213013,1.106744267476173
13,0.5835801,1.105890172079043,0.5902758240699768,1.121072214238987
14,0.5849385,1.1017783987405445,0.5863750576972961,1.1110757927968995
15,0.59329826,1.089935360825495,0.5720256567001343,1.156550768591561
16,0.59180045,1.082549986339686,0.5658957958221436,1.1689785434928037
